Plot,Tree_ID,Species1,n,Area_cm2,SLA,Date.Dried
E6,E6T118,Antidesma cuspidatum,3,31.55,167.87155441886898,2014-06-18T00:00:00Z
E6,E6T31,Hevea brasiliensis,3,335.2,187.36078751568317,2014-06-18T00:00:00Z
E6,E6T36,Macaranga heynei,3,57.95,144.22650764404165,2014-06-18T00:00:00Z
E6,E6T63,Timonius wallichianus,3,27.15,147.4938794415404,2014-06-18T00:00:00Z
E6,E6T65,Litsea accedens,3,44.45,132.6276179763244,2014-06-18T00:00:00Z
E6,E6T68,Antidesma cuspidatum,3,18.6,136.4544283036551,2014-06-18T00:00:00Z
E6,E6T71,Hevea brasiliensis,3,327.2,163.73909511019735,2014-06-18T00:00:00Z
E6,E6T76,Gynotroches axillaris,3,48.8,98.89791282003284,2014-06-18T00:00:00Z
E6,E6T82,Garcinia parvifolia,3,16.549999999999997,110.81541218637992,2014-06-18T00:00:00Z
F1,F1T09,Syzygium filiforme,3,5.4,92.45614035087719,2014-06-23T00:00:00Z
F1,F1T117,Macaranga trichocarpa,3,87.35,160.40478724528992,2014-06-23T00:00:00Z
F1,F1T124,Rhodamnia cinerea,3,35.75,89.79282688222057,2014-06-23T00:00:00Z
F1,F1T135,Litsea elliptica,3,83.85,131.49118032159828,2014-06-23T00:00:00Z
F1,F1T25,Prunus polystachya,3,167.14999999999998,85.98408949658173,2014-06-23T00:00:00Z
F1,F1T29,Alstonia angustifolia,3,40.4,129.801187922785,2014-06-23T00:00:00Z
F1,F1T32,Palaquium obovatum,3,161.95,80.7497325619203,2014-06-23T00:00:00Z
F1,F1T33,Croton oblongus,3,13.899999999999999,112.08911145351823,2014-06-23T00:00:00Z
F1,F1T50,Garcinia parvifolia,3,20.049999999999997,153.20776255707761,2014-06-24T00:00:00Z
F1,F1T56,Garcinia parvifolia,3,17.4,98.70863854508715,2014-06-23T00:00:00Z
F1,F1T59,Porterandia anisophylla,3,102.9,118.2417999639471,2014-06-23T00:00:00Z
F1,F1T72,Litsea castanea,3,62,81.50839591155611,2014-06-23T00:00:00Z
F1,F1T76,Heritiera javanica,1,352.3,98.5178970917226,2014-06-23T00:00:00Z
F1,F1T92,Heritiera javanica,3,666.8,83.31762160021202,2014-06-24T00:00:00Z
F4,F4T01,Timonius wallichianus,3,32.95,179.23239707579836,2014-08-11T00:00:00Z
F4,F4T02,Calophyllum ferrugineum,3,25.95,80.01974108803766,2014-08-11T00:00:00Z
F4,F4T22,Calophyllum lanigerum var. austrocoriaceum,3,51.2,63.16119174942705,2014-08-11T00:00:00Z
F4,F4T24,Litsea firma,3,47.55,94.5373241116146,2014-08-11T00:00:00Z
F4,F4T43,Lophopetalum multinervium,3,157.05,106.91856841566363,2014-08-11T00:00:00Z
F4,F4T60,Ficus grossularioides,3,318.95000000000005,150.4308052904738,2014-08-11T00:00:00Z
F4,F4T62,Syzygium lineatum,3,17.549999999999997,91.50824175824175,2014-08-11T00:00:00Z
F4,F4T72,Litsea castanea,3,56.900000000000006,75.51799612658944,2014-08-11T00:00:00Z
G13,G13T100,Burseraceae 1,3,99.05000000000001,87.16131818274778,2014-05-27T00:00:00Z
G13,G13T104,Elaeocarpus salicifolius,3,12.95,114.6357719752215,2014-05-27T00:00:00Z
G13,G13T115,Macaranga heynei,3,69,161.95342677408675,2014-05-27T00:00:00Z
G13,G13T15,Elaeocarpus stipularis,3,54.55,100.3299087154212,2014-05-27T00:00:00Z
G13,G13T19,Macaranga bancana,1,103.8,182.74647887323945,2014-05-27T00:00:00Z
G13,G13T28,Burseraceae 1,3,476.7,99.02585421255031,2014-05-27T00:00:00Z
G13,G13T30,Gironniera nervosa,3,23,107.49878463782207,2014-05-27T00:00:00Z
G13,G13T40,Artocarpus kemando,3,25.9,80.65455392499418,2014-05-27T00:00:00Z
G13,G13T49,Artocarpus kemando,3,25.15,98.04415973831266,2014-05-27T00:00:00Z
G13,G13T57,Gironniera nervosa,3,63,117.82002750485589,2014-05-27T00:00:00Z
G13,G13T78,Melastoma malabathricum,3,4.6,109.83981693363845,2014-05-27T00:00:00Z
G13,G13T79,Elaeocarpus stipularis,3,50.45,111.17140229439954,2014-05-27T00:00:00Z
G13,G13T88,Alstonia angustifolia,3,61.85,107.12131372376481,2014-05-27T00:00:00Z
G13,G13T91,Burseraceae 1,3,770.2,96.20768007499561,2014-05-27T00:00:00Z
G13,G13T95,Burseraceae 1,1,962.6,112.981220657277,2014-05-27T00:00:00Z
G13,G13T97,Gironniera nervosa,3,39.349999999999994,113.97081413210444,2014-05-27T00:00:00Z
G13,G13T99,Timonius wallichianus,3,23.5,134.72169512966477,2014-05-27T00:00:00Z
G14,G14T01,Anisophyllea disticha,3,1.1,137.5,2014-07-07T00:00:00Z
G14,G14T06,Syzygium griffithii,3,70.9,58.013691092871824,2014-07-07T00:00:00Z
G14,G14T10,Garcinia parvifolia,3,19.200000000000003,119.53326201513532,2014-07-07T00:00:00Z
G14,G14T100,Elaeocarpus salicifolius,3,15.25,154.43425076452598,2014-07-07T00:00:00Z
G14,G14T108,Lithocarpus encleisocarpus,3,46.6,111.67644909600925,2014-07-07T00:00:00Z
G14,G14T13,Syzygium borneense,3,42.9,72.40115751442613,2014-07-07T00:00:00Z
G14,G14T14,Anisophyllea disticha,3,1.05,656.25,2014-07-07T00:00:00Z
G14,G14T16,Beilschmiedia madang,3,157.8,69.4716041381485,2014-07-07T00:00:00Z
G14,G14T22,Garcinia parvifolia,3,22.15,75.4028700134677,2014-07-07T00:00:00Z
G14,G14T23,Syzygium filiforme,3,16.2,108.31093189964159,2014-07-07T00:00:00Z
G14,G14T24,Memecylon dichotomum,3,10.5,78.64606996819629,2014-07-07T00:00:00Z
G14,G14T28,Cinnamomum iners,3,63.45,77.46737130100394,2014-07-07T00:00:00Z
G14,G14T39,Calophyllum pulcherrimum,3,7.9,95.453216374269,2014-07-07T00:00:00Z
G14,G14T47,Lithocarpus conocarpus,3,30.35,96.92977067977068,2014-07-07T00:00:00Z
