Name.auth,Dispersal,Pollination,Fruit type by Corlett,Fruit Colour,Fruit type,Fruit Shape,Pericarp,Dehiscence,Fruit Description,Aril,Seed Shape,Seed Colour,Fruit Length (cm) min,Fruit Width (cm) min,No. Seed min,Seed Length (mm) min,Seed width (mm) min,Fruit Length (cm) max,Fruit Width (cm) max,No. Seed max,Seed Length (mm) max,Seed width (mm) max,Fruit Length (cm) mean,Fruit Width (cm) mean,No. Seed mean,Seed Length (mm) mean,Seed width (mm) mean
Lasianthus perakensis King & Gamble,"ingestion (berries, drupes or aggregate fruits)",bird,simple,NA,drupe,hemispheric,NA,NA,"subglabrous, ribbed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lasianthus stipularis Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,ovoid-globose,NA,NA,NA,NA,elliptic,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,0.635,NA,NA,NA,NA
Lasianthus tomentosus Blume,"ingestion (berries, drupes or aggregate fruits)",bird,simple,NA,drupe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oxyceros fragrantissimus (Ridl.) K. M. Wong,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,berry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6096,NA,NA,NA,NA
Psychotria angulata Korth.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,black,NA,elliptic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA,NA
Psychotria ovoidea Wall.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,white,NA,oblong,NA,NA,pulpy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA,NA
Psychotria penangensis Hook. f.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,NA,ellipsoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA,NA
Psychotria ridleyi King & Gamble,"ingestion (berries, drupes or aggregate fruits)",insect,simple,white,NA,oblong,NA,NA,pulpy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA,NA
Timonius flavescens (Jack) Baker,"ingestion (berries, drupes or aggregate fruits)",bird,simple,red,drupe,oblong,NA,NA,epicarp fleshy,NA,cylindric,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA,NA
Mischocarpus sundaicus Blume,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,red,loculicidal capsule,globose to ellipsoid,slightly fleshy,y,shrivel after dehiscence,"thin-fleshy, translucent",globose to ellipsoid,chestnut-brown,0.7,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,7,NA
Aquilaria microcarpa Baill.,others,insect,dehiscent,NA,loculicidal capsule,subcordate,NA,NA,NA,NA,ovoid,NA,0.8,1,NA,NA,NA,1.6,1.5,NA,NA,NA,NA,NA,NA,6,4
Enkleia malaccensis Griff.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,ovoid,NA,NA,"fuscous, glabrous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA,NA
Polyalthia rumphii Merr.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,red,drupaceous carpel?,ovoid-globular,NA,NA,waxy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762,NA,NA,NA,NA
Popowia pisocarpa (Blume) Endl.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,green,berry-like carpel,NA,NA,NA,pubescent,NA,NA,NA,0.635,NA,NA,NA,NA,0.889,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xylopia caudata Hook.f. & Thoms.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,carpel?,subglobose or oblong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762,NA,NA,NA,NA
Gironniera nervosa Planch.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,dull orange,drupe,subglobose/ovoid,NA,NA,densely appressed-pubescent,NA,NA,NA,0.5,0.3,NA,NA,NA,1,0.6,NA,NA,NA,NA,NA,NA,NA,NA
Tetracera macrophylla Wall. ex Hook.f. & Thoms.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,NA,capsule,NA,NA,NA,NA,"5-9mm, slightly laciniate",NA,glossy dark brown to black,0.8,0.6,1,NA,NA,1,0.8,2,NA,NA,NA,NA,NA,6.5,4.5
Dialium indum var. indum L.,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,NA,pods,globose to ovoid,NA,n,pulpy mesocarp,NA,squarish to reniform,light to dark brown,1.5,1,NA,7,NA,2.5,1.5,NA,12,NA,NA,NA,NA,NA,5
Vitex negundo L.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,ovoid,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,0.508,NA,NA,NA
Vitex vestita Wall. ex Schau.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,black,drupe,oblong,NA,NA,NA,NA,NA,NA,0.762,NA,1,NA,NA,1.016,NA,4,NA,NA,NA,NA,NA,NA,NA
Litsea umbellata (Lour.) Merr.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,green turn black,NA,elliptic,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
Helixanthera coccinea (Jack) Danser,"ingestion (berries, drupes or aggregate fruits)",bird,simple,red-brown,drupaceous,ovoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762,NA,NA,NA,NA
Pternandra coerulescens Jack,"ingestion (berries, drupes or aggregate fruits)",insect,simple,green turn yellow then purple,berry,subglobose,NA,NA,NA,NA,quadrangular-rhombic,NA,NA,0.4,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA
Cocculus orbiculatus (L.) DC.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,dark blue,drupe,rotund,NA,NA,NA,NA,curved into ring,NA,NA,0.4,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
Cyclea laxiflora Miers,"ingestion (berries, drupes or aggregate fruits)",insect,simple,white,drupe,obovoid,NA,NA,NA,NA,horseshoe-shaped,NA,0.5,0.4,NA,NA,NA,0.8,0.6,NA,NA,NA,NA,NA,NA,NA,NA
Ardisia colorata Roxb.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,black,drupe,globose,NA,NA,fleshy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.508,NA,NA,NA
Ardisia singaporensis Ridl.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,black,drupe,globose,NA,NA,fleshy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.508,NA,NA,NA
Syzygium attenuatum ssp. attenuatum var. attenuatum (Miq.) Merr. & L.M. Perry,"ingestion (berries, drupes or aggregate fruits)",mammal,simple,white,berry,oblong or oblong-obovoid,NA,NA,NA,NA,NA,NA,0.7,0.4,1,NA,NA,0.8,0.6,2,NA,NA,NA,NA,NA,NA,NA
Syzygium borneense (Miq.) Miq.,"ingestion (berries, drupes or aggregate fruits)",mammal,simple,waxy white tinged red,berry,globose or depressed globose,NA,NA,NA,NA,globose,NA,NA,0.4,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,1,NA,NA
Euthemis minor Jack,"ingestion (berries, drupes or aggregate fruits)",insect,simple,red,berry (5 pyrenes),globose,NA,NA,NA,NA,NA,NA,NA,0.4,1,NA,NA,NA,0.6,2,NA,NA,NA,NA,NA,4,2.5
Jasminum griffithii C. B. Clarke,"ingestion (berries, drupes or aggregate fruits)",insect,simple,white,drupe,oblong,NA,NA,fleshy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762,NA,NA,NA,NA
Antidesma cuspidatum Müll. Arg.,others,insect,simple,NA,drupe,ellipsoid,NA,NA,"juicy, dimpled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,1,NA,NA
Antidesma neurocarpum Miq.,others,insect,simple,NA,drupe,roundish,NA,NA,"juicy, dimpled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,NA,NA
Piper chaba W. Hunter,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,globose,NA,NA,very small,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piper flavimarginatum C. DC.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piper macropiper Pennant,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,NA,NA,NA,minute,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piper maingayi Hook. f.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,berry,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piper muricatum Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,yellow turning red,drupe,ovoid-globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3048,NA,NA,NA
Piper pedicellosum Wall. ex C.DC.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,globose,NA,NA,small,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piper porphyrophyllum (Lindl.) N. E. Br.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,ovate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piper protractum C. DC.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piper ribesioides Wall.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,red,drupe,globose,NA,NA,large,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,0.54,NA,NA,NA
Aidia auriculata (Wall.) Ridsdale,others,insect,simple,NA,berry,globose,NA,NA,as big as pepper-corn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aidia densiflora (Wall.) Masam.,others,bird,simple,yellow to red then black,berry,globose,NA,NA,smooth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,1.5
Lasianthus constrictus Wight,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,oblique ellipsoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.889,NA,NA,NA,NA
Lasianthus glaber Ridl.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,obovoid,NA,NA,glabrous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762,NA,NA,NA,NA
Mussaendopsis beccariana Baill.,wind (wing-like structures),bird,simple,dark brown,capsule,obovoid,NA,NA,glabrous,NA,elliptic,NA,NA,NA,NA,2,NA,NA,NA,NA,4,NA,2,0.5,NA,NA,NA
Mycetia malayana (Wall. ex Ridl.) Craib,"ingestion (berries, drupes or aggregate fruits)",bird,simple,white,berry,depressed globose,NA,NA,pulpy,NA,wedge-shaped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.508,NA,NA,NA
Oxyceros longiflorus (Lam.) T. Yamazaki,"ingestion (berries, drupes or aggregate fruits)",insect,simple,green,berry,globose ovoid,NA,NA,glabrous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.889,NA,NA,NA,NA
Psychotria helferiana Kurz,"ingestion (berries, drupes or aggregate fruits)",insect,simple,bright orange,NA,oblong,NA,NA,hairy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762,NA,NA,NA,NA
Psydrax maingayi (Hook. f.) Bridson,NA,NA,simple,NA,NA,NA,NA,NA,strongly bilobed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.8,NA,NA,NA
Tarenna costata (Miq.) Merr.,"ingestion (berries, drupes or aggregate fruits)",bird,simple,NA,berry-like,globose,NA,NA,as big as a pea,NA,NA,NA,NA,0.4,NA,NA,1.5,NA,0.6,NA,NA,2,NA,NA,1,NA,NA
Urophyllum hirsutum (Wight) Hook. f.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,orange,berry,globose,NA,NA,hairy,NA,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.508,NA,NA,NA
Osmelia maingayi King,others,insect,dehiscent,velvety-red with silvery tinge,capsule,oblong,NA,NA,yellowish-tomentose (dry),fleshy,ellipsoid,NA,1.2,NA,NA,7,NA,2,NA,NA,8,NA,NA,NA,NA,NA,NA
Osmelia philippina (Turcz.) Benth.,others,insect,dehiscent,rich vevety-red,capsule,oblong-subglobose,NA,NA,dense grey to yellowish hair (dry),"fleshy, lemon-yellowish",ellipsoid,NA,1,NA,1,NA,NA,1.5,NA,2,NA,NA,NA,NA,NA,NA,5
Symplocos fasciculata Zoll.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,blue to black,drupe,ovoid,NA,NA,glabrescent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.5,1,NA,NA
Aquilaria hirta Ridl.,others,insect,dehiscent,grey,loculicidal capsule,oblanceolate acute,NA,NA,"tomentose, leathery",NA,ovoid,black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.064,1.524,NA,NA,NA
Cissus nodosa Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,claret pink,berry,pisiform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.508,NA,NA,NA
Nothocissus spicifera (Griff.) Latiff,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,berry,ovoid or globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762,NA,NA,NA,NA
Viburnum sambucinum Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,dark purple,drupe,ovoid to globose,NA,NA,glabrescent,NA,NA,dark brown to black,0.7,0.5,NA,NA,NA,1,0.7,NA,NA,NA,NA,NA,NA,NA,NA
Campnosperma auriculata Hook. f.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,green to dull red,drupe,subglobose,NA,NA,endocarp hard and woody,NA,NA,NA,0.6,0.5,NA,NA,NA,0.8,0.6,NA,NA,NA,NA,NA,1,NA,NA
Artabotrys suaveolens (Blume) Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,carpel,ellipsoid,NA,NA,"obtuse, glabrous",NA,ellipsoid,NA,1.016,NA,NA,NA,NA,1.27,NA,NA,NA,NA,NA,0.635,1,NA,NA
Friesodielsia glauca (Hook. f. & Thoms.) Steenis,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,carpel,ovoid,NA,NA,tomentose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.016,0.635,1,NA,NA
Goniothalamus macrophyllus (Blume) Hook. f. & Thoms.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,NA,carpel,globular obovoid,NA,glabrous,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1.016,NA,NA,NA,NA
Polyalthia cauliflora Hook.f. & Thoms.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupaceous carpel?,ellipsoid,NA,NA,pubescent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.016,NA,NA,NA,NA
Popowia fusca King,"ingestion (berries, drupes or aggregate fruits)",insect,simple,green with brown gloss,berry-like carpel,globose,NA,NA,tomentose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,1,NA,NA
Trivalvaria macrophylla (Blume) Miq.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,berry-like carpel,cylindric-ovoid,NA,NA,thin-walled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,0.635,1,NA,NA
Tabernaemontana corymbosa Roxb. ex Wall.,others,insect,dehiscent,red or yellow,paired follicles,NA,NA,NA,NA,"fleshy, red or orange",NA,NA,2,0.6,5,NA,NA,4.5,3,20,NA,NA,NA,NA,NA,NA,NA
Tabernaemontana pauciflora Blume,others,insect,dehiscent,yellow or orange,paired follicles,NA,NA,NA,NA,"fleshy, red",obliquely ellipsoid,NA,2,0.7,2,8,5,6,2,4,10,6,NA,NA,NA,NA,NA
Amydrium medium (Z. & M.) Nicolson,others,insect,simple,white,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA
Oncosperma tigillaria (Jack) Ridl.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,black,drupe,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA
Gironniera hirta Ridl.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,ovoid-globose,NA,NA,glabrous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.6,NA,NA,NA
Gironniera parvifolia Planch.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,orange,drupe,ovoid-globose,NA,NA,"appressed-pubescent, glabrescent",NA,NA,NA,0.7,0.5,NA,NA,NA,0.8,0.6,NA,NA,NA,NA,NA,NA,NA,NA
Gironniera subaequalis Planch.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,yellow-orange,drupe,ovoid-globose,NA,NA,"appressed-pubescent, glabrescent",NA,NA,NA,0.5,0.8,NA,NA,NA,0.6,0.9,NA,NA,NA,NA,NA,NA,NA,NA
Glyptopetalum quadrangulare Prain ex King,"ingestion (berries, drupes or aggregate fruits)",insect,dehiscent,NA,capsule,depressed globose,NA,NA,3-4 celled,NA,broadly ellipsoid,reddish brown,NA,1,NA,NA,NA,NA,1.3,NA,NA,NA,2,NA,NA,8,6
Daphniphyllum laurinum (Benth.) Baill.,"ingestion (berries, drupes or aggregate fruits)",wind,simple,"pale green, green, or white to brwon when ripe",drupe,"elliptic-obovoid, -globose, obovoid",NA,NA,Poisonous!!,NA,NA,NA,0.7,0.5,NA,NA,NA,1.2,0.7,NA,NA,NA,NA,NA,1,NA,NA
Flagellaria indica L.,"ingestion (berries, drupes or aggregate fruits)",wind,simple,pink,drupe,subglobose,NA,NA,NA,NA,globose or flattened,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1,NA,NA
Fagraea fragrans Roxb.,"ingestion (berries, drupes or aggregate fruits)",mammal,simple,orange to red,berry,ovoid-globose,NA,NA,NA,NA,NA,NA,0.5,0.5,NA,NA,NA,1,0.6,NA,NA,NA,NA,NA,NA,NA,NA
Actinodaphne pruinosa Nees,"ingestion (berries, drupes or aggregate fruits)",insect,simple,black,drupe,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA
Cinnamomum subavenium Miq.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,ovoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,0.6,NA,NA,NA
Cryptocarya ferrea Blume,"ingestion (berries, drupes or aggregate fruits)",insect,simple,black,drupaceous,ovoid-oblong-cylindric,NA,NA,enclosed in accrescent perianth-tube,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,0.635,NA,NA,NA
Litsea lanceolata (Blume) Kosterm.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,NA,ovoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA
Litsea lancifolia (Roxb.) Hook. f.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,NA,ellipsoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA
Lijndenia laurina Zoll. & Moritzi,"ingestion (berries, drupes or aggregate fruits)",insect,simple,green turn blue then black,drupe,globose or ovoid,NA,NA,pulpy,NA,NA,NA,NA,0.5,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,1,NA,NA
Pachycentria maingayi (C. B. Clarke) Maxw.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,pink,berry,globose,NA,NA,campanulate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA,NA
Ardisia crassa C. B. Clarke,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,globose,NA,NA,fleshy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA
Ardisia crenata Sims,"ingestion (berries, drupes or aggregate fruits)",insect,simple,scarlet,drupe,NA,NA,NA,"fleshy, edible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA
Ardisia miqueliana Scheff.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,NA,NA,NA,fleshy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ardisia ridleyi King & Gamble,"ingestion (berries, drupes or aggregate fruits)",insect,simple,scarlet,drupe,ovoid,NA,NA,fleshy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ardisia sessilis Scheff.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,drupe,globose,NA,NA,fleshy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA
Syzygium leucoxylon Korth.,"ingestion (berries, drupes or aggregate fruits)",mammal,simple,NA,berry,ellipsoid to globose,NA,NA,NA,NA,NA,NA,0.6,0.5,1,NA,NA,0.7,0.6,2,NA,NA,NA,NA,NA,NA,NA
Syzygium linocieroideum (King) I.M.Turner,"ingestion (berries, drupes or aggregate fruits)",mammal,simple,NA,berry,oblong globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA
Brackenridgea hookeri (Planch.) A. Gray,"ingestion (berries, drupes or aggregate fruits)",insect,simple,greenish turn almost black,drupe,NA,NA,NA,NA,NA,NA,NA,0.6,0.55,NA,NA,NA,0.9,0.6,NA,NA,NA,NA,NA,NA,NA,NA
Brackenridgea palustris Bartell.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,greenish turn almost black,drupe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.6,NA,NA,NA
Campylospermum serratum (Gaertn.) Bittrich & M. C. E. Amaral,"ingestion (berries, drupes or aggregate fruits)",insect,simple,"green or yellowish turn glossy red, blue-black or purple",drupe,semi-orbicular sub-reniform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.6,1,NA,NA
Antidesma coriaceum Tul.,others,insect,simple,red,drupe,orbicular,NA,NA,"juicy, dimpled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,1,NA,NA
Bridelia stipularis (L.) Blume,NA,NA,simple,green turn black,drupe,oblong,NA,n,fleshy,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1.016,NA,NA,NA,NA
Piper pachyphyllum Hook. f.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,berry,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA
Polyosma conocarpa Ridl.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,pale green to white turn blue,berry,pear to conical-shaped,NA,NA,NA,NA,NA,NA,0.5,0.5,NA,NA,NA,1,0.7,NA,NA,NA,NA,NA,1,NA,NA
Polyosma kingiana Schltr.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,off white to green turn purple,berry,pear-shaped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.016,NA,1,NA,NA
Lasianthus ridleyi King & Gamble,"ingestion (berries, drupes or aggregate fruits)",insect,simple,deep blue,drupe,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA,NA
Morinda ridleyi (King & Gamble) Ridl.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,black,fused as syncarps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,NA,NA,NA
Prismatomeris glabra (Korth.) Val.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,berry,NA,NA,NA,NA,NA,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prismatomeris tetrandra ssp. malayana (Roxb.) K.Schum. | (Ridl.) Johansson,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,berry,globose,NA,NA,NA,NA,globose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635,1,NA,NA
Psychotria griffithii Hook.f.,"ingestion (berries, drupes or aggregate fruits)",bird,simple,black,NA,oblong-obovoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.016,NA,NA,NA,NA
Psychotria malayana Jack,"ingestion (berries, drupes or aggregate fruits)",insect,simple,orange turn black,NA,ellipsoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.016,NA,NA,NA,NA
Tarenna adpressa (King) Merr.,"ingestion (berries, drupes or aggregate fruits)",insect,simple,NA,berry-like,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Tarenna fragrans (Nees) K. & V.,"ingestion (berries, drupes or aggregate fruits)",bird,simple,black,berry-like,pisiform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
Tarenna mollis (Wall. ex Hook.f.) B.L.Robinson,"ingestion (berries, drupes or aggregate fruits)",bird,simple,black,berry-like,globose,NA,NA,glabrous,NA,NA,NA,NA,0.4,NA,NA,1.5,NA,0.7,NA,NA,2.5,NA,NA,1,NA,NA
